cid,constituency,district,sno,candidate,party,criminal_cases,education,age,assets,liabilities
180,BALLYGUNGE,KOLKATA SOUTH,10,Subrata Mukherjee Winner,AITC,2,Post Graduate,74,"Rs 1,50,76,361 ~ 1 Crore+",Rs 0 ~
181,CHOWRANGEE,KOLKATA NORTH,4,Bandyopadhyay Nayna Winner,AITC,2,12th Pass,52,"Rs 7,00,15,752 ~ 7 Crore+","Rs 1,33,300 ~ 1 Lacs+"
182,ENTALLY,KOLKATA NORTH,14,Swarna Kamal Saha Winner,AITC,0,Graduate Professional,72,"Rs 10,51,94,928 ~ 10 Crore+",Rs 0 ~
183,BELEGHATA,KOLKATA NORTH,7,Paresh Paul Winner,AITC,3,Graduate,75,"Rs 4,31,03,515 ~ 4 Crore+",Rs 0 ~
184,JORASANKO,KOLKATA NORTH,10,Vivek Gupta Winner,AITC,0,Graduate,45,"Rs 31,99,43,060 ~ 31 Crore+",Rs 0 ~
185,SHYAMPUKUR,KOLKATA NORTH,4,Dr. Shashi Panja Winner,AITC,0,Graduate Professional,58,"Rs 7,33,51,264 ~ 7 Crore+",Rs 0 ~
186,MANIKTALA,KOLKATA NORTH,7,Sadhan Pande Winner,AITC,0,Graduate Professional,70,"Rs 5,86,68,291 ~ 5 Crore+",Rs 0 ~
187,KASHIPUR-BELGACHHIA,KOLKATA NORTH,1,Atin Ghosh Winner,AITC,1,Graduate,62,"Rs 2,99,48,349 ~ 2 Crore+","Rs 19,64,606 ~ 19 Lacs+"
188,BALLY,HOWRAH,9,Rana Chatterjee Winner,AITC,0,Graduate Professional,48,,
189,HOWRAH UTTAR,HOWRAH,4,Gautam Chowdhuri Winner,AITC,4,12th Pass,48,"Rs 1,23,49,661 ~ 1 Crore+",Rs 0 ~
19,KURSEONG,DARJEELING,3,Bishnu Prasad Sharma Winner,BJP,7,10th Pass,52,,
190,HOWRAH MADHYA,HOWRAH,2,Arup Roy Winner,AITC,0,Graduate Professional,65,"Rs 3,02,85,927 ~ 3 Crore+","Rs 29,61,801 ~ 29 Lacs+"
191,SHIBPUR,HOWRAH,6,Manoj Tiwary Winner,AITC,0,8th Pass,35,,
192,HOWRAH DAKSHIN,HOWRAH,3,Nandita Chowdhury Winner,AITC,0,12th Pass,60,,
193,SANKRAIL (SC),HOWRAH,3,Priya Paul Winner,AITC,0,Post Graduate,50,,
194,PANCHLA,HOWRAH,3,Gulsan Mullick Winner,AITC,0,12th Pass,63,,
195,ULUBERIA PURBA,HOWRAH,3,Bidesh Ranjan Bose Winner,AITC,0,Graduate,68,,
196,ULUBERIA UTTAR (SC),HOWRAH,4,Dr. Nirmal Maji Winner,AITC,2,Post Graduate,60,"Rs 84,35,790 ~ 84 Lacs+","Rs 3,81,835 ~ 3 Lacs+"
197,ULUBERIA DAKSHIN,HOWRAH,4,Pulak Roy Winner,AITC,0,Graduate,55,"Rs 2,97,05,081 ~ 2 Crore+","Rs 43,90,702 ~ 43 Lacs+"
198,SHYAMPUR,HOWRAH,2,Kalipada Mandal Winner,AITC,0,Graduate Professional,76,"Rs 83,83,967 ~ 83 Lacs+",Rs 0 ~
199,BAGNAN,HOWRAH,2,Arunava Sen (Raja) Winner,AITC,1,12th Pass,45,"Rs 66,96,240 ~ 66 Lacs+",Rs 0 ~
2,MATHABHANGA (SC),COOCHBEHAR,8,Sushil Barman Winner,BJP,2,Graduate,53,"Rs 10,12,680 ~ 10 Lacs+",Rs 0 ~
20,MATIGARA-NAXALBARI (SC),DARJEELING,1,Anandamay Barman Winner,BJP,1,Post Graduate,38,"Rs 1,16,85,645 ~ 1 Crore+","Rs 10,00,000 ~ 10 Lacs+"
200,AMTA,HOWRAH,7,Sukanta Kumar Paul Winner,AITC,0,Post Graduate,41,"Rs 19,39,357 ~ 19 Lacs+",Rs 0 ~
201,UDAYNARAYANPUR,HOWRAH,3,Samir Kumar Panja Winner,AITC,0,Graduate Professional,55,,
203,JAGATBALLAVPUR,HOWRAH,4,Sitanath Ghosh Winner,AITC,0,12th Pass,67,"Rs 2,39,11,229 ~ 2 Crore+",Rs 0 ~
204,DOMJUR,HOWRAH,1,Kalyan Ghosh Winner,AITC,2,12th Pass,60,"Rs 5,04,79,458 ~ 5 Crore+","Rs 13,00,000 ~ 13 Lacs+"
205,UTTARPARA,HOOGHLY,1,Kanchan Mullick Winner,AITC,0,Graduate,50,"Rs 1,02,19,205 ~ 1 Crore+","Rs 1,86,956 ~ 1 Lacs+"
206,SREERAMPUR,HOOGHLY,3,Dr. Sudipto Roy Winner,AITC,0,Post Graduate,72,,
207,CHAMPDANI,HOOGHLY,4,Arindam Guin (Bubai) Winner,AITC,0,Graduate,44,"Rs 1,42,18,012 ~ 1 Crore+","Rs 14,47,189 ~ 14 Lacs+"
208,SINGUR,HOOGHLY,1,Becharam Manna Winner,AITC,1,10th Pass,50,"Rs 2,12,18,659 ~ 2 Crore+","Rs 13,68,413 ~ 13 Lacs+"
209,CHANDANNAGAR,HOOGHLY,3,Indranil Sen Winner,AITC,0,12th Pass,55,,
21,SILIGURI,DARJEELING,10,Sankar Ghosh Winner,BJP,2,Doctorate,48,"Rs 1,54,33,178 ~ 1 Crore+","Rs 28,39,918 ~ 28 Lacs+"
210,CHUNCHURA,HOOGHLY,3,Asit Mazumder (Tapan) Winner,AITC,1,Graduate Professional,63,,
211,BALAGARH (SC),HOOGHLY,2,Manoranjan Bapari Winner,AITC,2,Illiterate,55,"Rs 14,89,175 ~ 14 Lacs+",Rs 0 ~
212,PANDUA,HOOGHLY,3,Dr. Ratna De Nag Winner,AITC,0,Graduate Professional,71,,
213,SAPTAGRAM,HOOGHLY,7,Tapan Dasgupta Winner,AITC,0,Graduate,65,"Rs 1,19,81,324 ~ 1 Crore+","Rs 4,01,531 ~ 4 Lacs+"
214,CHANDITALA,HOOGHLY,5,Swati Khandoker Winner,AITC,0,12th Pass,48,"Rs 60,79,297 ~ 60 Lacs+","Rs 10,50,000 ~ 10 Lacs+"
215,JANGIPARA,HOOGHLY,6,Snehasis Chakraborty Winner,AITC,1,Post Graduate,51,,
216,HARIPAL,HOOGHLY,2,Dr. Karabi Manna Winner,AITC,0,Others,46,"Rs 2,11,04,407 ~ 2 Crore+","Rs 13,68,413 ~ 13 Lacs+"
217,DHANEKHALI (SC),HOOGHLY,2,Asima Patra Winner,AITC,0,12th Pass,53,"Rs 84,60,657 ~ 84 Lacs+",Rs 0 ~
218,TARAKESWAR,HOOGHLY,1,Ramendu Sinharay Winner,AITC,4,Graduate,54,"Rs 3,49,64,190 ~ 3 Crore+","Rs 9,28,525 ~ 9 Lacs+"
22,PHANSIDEWA (ST),DARJEELING,4,Durga Murmu Winner,BJP,0,12th Pass,42,"Rs 1,17,03,526 ~ 1 Crore+",Rs 0 ~
220,PURSURAH,HOOGHLY,1,Biman Ghosh Winner,BJP,2,Graduate,36,"Rs 2,10,379 ~ 2 Lacs+",Rs 0 ~
221,ARAMBAG (SC),HOOGHLY,2,Madhusudan Bag Winner,BJP,1,Post Graduate,49,"Rs 49,51,884 ~ 49 Lacs+","Rs 20,43,796 ~ 20 Lacs+"
222,GOGHAT (SC),HOOGHLY,1,Biswanath Karak Winner,BJP,8,12th Pass,60,"Rs 25,32,687 ~ 25 Lacs+",Rs 0 ~
223,KHANAKUL,HOOGHLY,6,Susanta Ghosh Winner,BJP,2,10th Pass,32,,
224,TAMLUK,PURBO MEDINIPUR,6,Saumen Kumar Mahapatra Winner,AITC,3,Doctorate,65,,
225,PANSKURA PURBA,PURBO MEDINIPUR,2,Biplab Roy Chowdhury Winner,AITC,0,12th Pass,74,"Rs 35,81,403 ~ 35 Lacs+",Rs 0 ~
226,PANSKURA PASCHIM,PURBO MEDINIPUR,3,Phiroja Bibi Winner,AITC,2,8th Pass,70,,
227,MOYNA,PURBO MEDINIPUR,1,Ashoke Dinda Winner,BJP,0,Graduate,35,"Rs 7,50,63,577 ~ 7 Crore+","Rs 1,88,65,905 ~ 1 Crore+"
228,NANDAKUMAR,PURBO MEDINIPUR,5,Sukumar De Winner,AITC,0,Graduate,60,"Rs 14,28,598 ~ 14 Lacs+",Rs 0 ~
229,MAHISHADAL,PURBO MEDINIPUR,6,Tilak Kumar Chakraborty Winner,AITC,2,Graduate,55,,
23,CHOPRA,UTTAR DINAJPUR,3,Hamidul Rahaman Winner,AITC,3,12th Pass,61,,
230,HALDIA (SC),PURBO MEDINIPUR,5,Tapasi Mondal Winner,BJP,0,10th Pass,49,"Rs 81,10,430 ~ 81 Lacs+",Rs 0 ~
231,NANDIGRAM,PURBO MEDINIPUR,1,Adhikari Suvendu Winner,BJP,1,Post Graduate,50,"Rs 1,05,52,749 ~ 1 Crore+",Rs 0 ~
232,CHANDIPUR,PURBO MEDINIPUR,6,Soham Chakraborty Winner,AITC,0,Graduate,37,,
233,PATASHPUR,PURBO MEDINIPUR,4,Uttam Barik Winner,AITC,4,12th Pass,46,"Rs 43,32,026 ~ 43 Lacs+",Rs 0 ~
234,KANTHI UTTAR,PURBO MEDINIPUR,6,Sumita Sinha Winner,BJP,0,Graduate,53,,
235,BHAGABANPUR,PURBO MEDINIPUR,3,Rabindra Nath Maity Winner,BJP,1,12th Pass,50,,
236,KHEJURI (SC),PURBO MEDINIPUR,3,Santanu Pramanik Winner,BJP,0,Post Graduate,36,,
237,KANTHI DAKSHIN,PURBO MEDINIPUR,2,Arup Kumar Das Winner,BJP,0,Post Graduate,63,"Rs 1,03,12,786 ~ 1 Crore+",Rs 0 ~
239,RAMNAGAR,PURBO MEDINIPUR,1,Akhil Giri Winner,AITC,1,12th Pass,62,"Rs 70,91,258 ~ 70 Lacs+",Rs 0 ~
24,ISLAMPUR,UTTAR DINAJPUR,1,Abdul Karim Chowdhary Winner,AITC,4,12th Pass,75,"Rs 1,12,17,478 ~ 1 Crore+","Rs 14,51,895 ~ 14 Lacs+"
240,EGRA,PURBO MEDINIPUR,4,Tarun Kumar Maity Winner,AITC,0,Post Graduate,53,"Rs 85,82,414 ~ 85 Lacs+","Rs 55,50,786 ~ 55 Lacs+"
241,DANTAN,PASCHIM MEDINIPUR,1,Bikram Chandra Pradhan Winner,AITC,2,12th Pass,67,"Rs 16,91,439 ~ 16 Lacs+","Rs 1,01,437 ~ 1 Lacs+"
242,KESHIARY (ST),PASCHIM MEDINIPUR,4,Paresh Murmu Winner,AITC,0,Graduate,52,"Rs 40,10,329 ~ 40 Lacs+",Rs 0 ~
243,KHARAGPUR SADAR,PASCHIM MEDINIPUR,2,Hiranmoy Chattopadhyaya Winner,BJP,2,Graduate,45,"Rs 4,37,10,836 ~ 4 Crore+","Rs 60,93,221 ~ 60 Lacs+"
244,NARAYANGARH,PASCHIM MEDINIPUR,1,Atta Surja Kanta Winner,AITC,0,Post Graduate,57,"Rs 1,22,80,040 ~ 1 Crore+","Rs 40,00,000 ~ 40 Lacs+"
245,SABANG,PASCHIM MEDINIPUR,5,Manas Ranjan Bhunia Winner,AITC,0,Graduate Professional,68,"Rs 7,34,94,125 ~ 7 Crore+","Rs 26,00,000 ~ 26 Lacs+"
246,PINGLA,PASCHIM MEDINIPUR,1,Ajit Maity Winner,AITC,1,12th Pass,67,"Rs 85,75,000 ~ 85 Lacs+",Rs 0 ~
247,KHARAGPUR,PASCHIM MEDINIPUR,2,Dinen Roy Winner,AITC,13,12th Pass,65,"Rs 3,70,19,486 ~ 3 Crore+",Rs 0 ~
248,DEBRA,PASCHIM MEDINIPUR,3,Humayun Kabir Winner,AITC,0,Doctorate,59,,
249,DASPUR,PASCHIM MEDINIPUR,3,Mamata Bhunia Winner,AITC,0,10th Pass,59,,
25,GOALPOKHAR,UTTAR DINAJPUR,2,Md. Ghulam Rabbani Winner,AITC,3,Post Graduate,51,"Rs 1,45,30,536 ~ 1 Crore+","Rs 41,46,012 ~ 41 Lacs+"
250,GHATAL (SC),PASCHIM MEDINIPUR,4,Sital Kapat Winner,BJP,1,12th Pass,31,"Rs 4,09,916 ~ 4 Lacs+",Rs 0 ~
251,CHANDRAKONA (SC),PASCHIM MEDINIPUR,2,Arup Dhara Winner,AITC,0,Graduate,40,"Rs 70,39,412 ~ 70 Lacs+","Rs 15,27,905 ~ 15 Lacs+"
252,GARBETA,PASCHIM MEDINIPUR,5,Uttara Singha Hazra Winner,AITC,1,Graduate,56,"Rs 1,77,10,285 ~ 1 Crore+","Rs 63,48,523 ~ 63 Lacs+"
253,SALBONI,PASCHIM MEDINIPUR,9,Srikanta Mahata Winner,AITC,3,Graduate,45,,
254,KESHPUR (SC),PASCHIM MEDINIPUR,3,Seuli Saha Winner,AITC,0,Graduate Professional,51,,
256,MEDINIPUR,PASCHIM MEDINIPUR,3,June Maliah Winner,AITC,0,12th Pass,50,,
257,BANDWAN (ST),PURULIA,3,Rajib Lochan Saren Winner,AITC,0,Graduate Professional,47,,
258,BALARAMPUR,PURULIA,3,Baneswar Mahato Winner,BJP,3,12th Pass,48,,
259,BAGHMUNDI,PURULIA,6,Sushanta Mahato Winner,AITC,0,Post Graduate,39,,
26,CHAKULIA,UTTAR DINAJPUR,2,Azad Minhajul Arfin Winner,AITC,0,Graduate,49,"Rs 22,70,837 ~ 22 Lacs+","Rs 12,41,300 ~ 12 Lacs+"
260,JOYPUR,PURULIA,7,Nara Hari Mahato Winner,BJP,3,Post Graduate,65,"Rs 1,17,27,000 ~ 1 Crore+","Rs 2,00,000 ~ 2 Lacs+"
261,PURULIA,PURULIA,9,Sudip Kumar Mukherjee Winner,BJP,3,8th Pass,51,,
262,MANBAZAR (ST),PURULIA,3,Sandhyarani Tudu Winner,AITC,0,10th Pass,50,,
263,KASHIPUR,PURULIA,2,Kamalakanta Hansda Winner,BJP,0,Post Graduate,47,"Rs 45,02,009 ~ 45 Lacs+","Rs 13,00,000 ~ 13 Lacs+"
264,PARA (SC),PURULIA,3,Nadiar Chand Bouri Winner,BJP,0,12th Pass,43,,
265,RAGHUNATHPUR (SC),PURULIA,7,Vivekananda Bauri Winner,BJP,0,Graduate Professional,44,"Rs 20,30,856 ~ 20 Lacs+",Rs 0 ~
266,SALTORA (SC),BANKURA,2,Chandana Bauri Winner,BJP,0,10th Pass,30,"Rs 62,296 ~ 62 Thou+",Rs 0 ~
267,CHHATNA,BANKURA,8,Satyanarayan Mukhopadhyay Winner,BJP,0,Graduate Professional,51,"Rs 27,45,685 ~ 27 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
268,RANIBANDH (ST),BANKURA,5,Jyotsna Mandi Winner,AITC,0,Others,35,"Rs 41,01,144 ~ 41 Lacs+","Rs 2,34,000 ~ 2 Lacs+"
269,RAIPUR (ST),BANKURA,2,Mrityunjoy Murmu Winner,AITC,0,10th Pass,47,"Rs 10,18,005 ~ 10 Lacs+",Rs 0 ~
27,KARANDIGHI,UTTAR DINAJPUR,5,Goutam Paul Winner,AITC,3,12th Pass,42,"Rs 1,40,00,281 ~ 1 Crore+",Rs 0 ~
270,TALDANGRA,BANKURA,1,Arup Chakraborty Winner,AITC,0,Graduate Professional,65,"Rs 8,82,51,416 ~ 8 Crore+","Rs 3,98,58,383 ~ 3 Crore+"
271,BANKURA,BANKURA,5,Niladri Sekhar Dana Winner,BJP,0,12th Pass,54,"Rs 1,90,01,000 ~ 1 Crore+",Rs 0 ~
272,BARJORA,BANKURA,1,Alok Mukherjee Winner,AITC,0,10th Pass,61,"Rs 19,92,033 ~ 19 Lacs+",Rs 0 ~
273,ONDA,BANKURA,2,Amarnath Shakha Winner,BJP,6,10th Pass,56,"Rs 65,81,000 ~ 65 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
274,BISHNUPUR,BANKURA,6,Tanmay Ghosh (Bumba) Winner,BJP,0,Graduate,42,,
