cid,constituency,district,sno,candidate,party,criminal_cases,education,age,assets,liabilities
47,MALDAHA (SC),MALDA,2,Gopal Chandra Saha Winner,BJP,0,Graduate,44,"Rs 2,41,45,751 ~ 2 Crore+","Rs 14,53,440 ~ 14 Lacs+"
48,ENGLISH BAZAR,MALDA,9,Sreerupa Mitra Chaudhury(Nirbhoy Didi) Winner,BJP,2,Post Graduate,56,,
49,MOTHABARI,MALDA,10,Yeasmin Sabina Winner,AITC,1,Post Graduate,43,"Rs 1,88,13,766 ~ 1 Crore+","Rs 3,44,315 ~ 3 Lacs+"
5,SITALKUCHI (SC),COOCHBEHAR,1,Baren Chandra Barman Winner,BJP,1,Post Graduate,47,"Rs 60,76,622 ~ 60 Lacs+","Rs 11,43,178 ~ 11 Lacs+"
50,SUJAPUR,MALDA,3,Md Abdul Ghani Winner,AITC,0,Post Graduate,71,,
51,BAISNABNAGAR,MALDA,2,Chandana Sarkar Winner,AITC,0,Graduate,40,"Rs 1,32,59,970 ~ 1 Crore+","Rs 22,76,970 ~ 22 Lacs+"
53,FARAKKA,MURSHIDABAD,5,Manirul Islam Winner,AITC,1,10th Pass,45,"Rs 3,03,64,772 ~ 3 Crore+","Rs 2,55,36,778 ~ 2 Crore+"
54,SAMSERGANJ,MURSHIDABAD,1,Amirul Islam Winner,AITC,3,Graduate,49,"Rs 1,07,27,391 ~ 1 Crore+","Rs 2,87,362 ~ 2 Lacs+"
55,SUTI,MURSHIDABAD,2,Emani Biswas Winner,AITC,1,Graduate,46,"Rs 11,65,28,350 ~ 11 Crore+","Rs 2,57,74,415 ~ 2 Crore+"
56,JANGIPUR,MURSHIDABAD,3,Jakir Hossain Winner,AITC,0,10th Pass,48,,
57,RAGHUNATHGANJ,MURSHIDABAD,2,Akhruzzaman Winner,AITC,1,Graduate Professional,56,"Rs 2,22,69,566 ~ 2 Crore+","Rs 49,777 ~ 49 Thou+"
58,SAGARDIGHI,MURSHIDABAD,8,Subrata Saha Winner,AITC,0,Graduate Professional,71,"Rs 8,02,60,320 ~ 8 Crore+","Rs 21,50,089 ~ 21 Lacs+"
59,LALGOLA,MURSHIDABAD,3,Ali Mohammad Winner,AITC,1,Post Graduate,57,,
6,SITAI (SC),COOCHBEHAR,3,Jagadish Chandra Barma Basunia Winner,AITC,1,Graduate Professional,57,,
60,BHAGAWANGOLA,MURSHIDABAD,3,Idris Ali Winner,AITC,4,Graduate Professional,70,,
61,RANINAGAR,MURSHIDABAD,2,Abdul Soumik Hossain Winner,AITC,2,12th Pass,38,"Rs 10,00,70,941 ~ 10 Crore+","Rs 1,88,69,480 ~ 1 Crore+"
62,MURSHIDABAD,MURSHIDABAD,3,Gouri Sankar Ghosh Winner,BJP,6,Post Graduate,48,,
63,NABAGRAM (SC),MURSHIDABAD,2,Kanai Chandra Mondal Winner,AITC,9,Graduate,67,"Rs 64,18,387 ~ 64 Lacs+","Rs 4,61,000 ~ 4 Lacs+"
64,KHARGRAM (SC),MURSHIDABAD,2,Ashis Marjit Winner,AITC,1,12th Pass,48,"Rs 50,82,686 ~ 50 Lacs+",Rs 0 ~
65,BURWAN (SC),MURSHIDABAD,2,Jiban Krishna Saha Winner,AITC,0,Post Graduate,44,"Rs 3,04,66,250 ~ 3 Crore+",Rs 0 ~
66,KANDI,MURSHIDABAD,1,Apurba Sarkar (David) Winner,AITC,4,12th Pass,57,"Rs 3,15,39,163 ~ 3 Crore+",Rs 0 ~
68,REJINAGAR,MURSHIDABAD,6,Rabiul Alam Chowdhury Winner,AITC,1,Graduate,61,,
69,BELDANGA,MURSHIDABAD,1,Hasanuzzaman Sk Winner,AITC,4,12th Pass,47,"Rs 2,43,88,017 ~ 2 Crore+","Rs 8,49,972 ~ 8 Lacs+"
7,DINHATA,COOCHBEHAR,4,Nisith Pramanik Winner,BJP,13,10th Pass,35,"Rs 60,74,006 ~ 60 Lacs+",Rs 0 ~
70,BAHARAMPUR,MURSHIDABAD,6,Subrata Maitra (Kanchan) Winner,BJP,6,Graduate,54,,
71,HARIHARPARA,MURSHIDABAD,7,Niamot Sheikh Winner,AITC,1,8th Pass,70,"Rs 2,51,84,756 ~ 2 Crore+","Rs 9,93,268 ~ 9 Lacs+"
72,NOWDA,MURSHIDABAD,7,Sahina Momtaz Khan Winner,AITC,0,10th Pass,55,"Rs 3,80,48,254 ~ 3 Crore+","Rs 40,87,115 ~ 40 Lacs+"
73,DOMKAL,MURSHIDABAD,6,Jafikul Islam Winner,AITC,0,Post Graduate,45,,
74,JALANGI,MURSHIDABAD,1,Abdur Razzak Winner,AITC,0,Post Graduate,63,"Rs 87,89,008 ~ 87 Lacs+",Rs 0 ~
75,BHARATPUR,MURSHIDABAD,3,Humayun Kabir Winner,AITC,10,12th Pass,61,,
76,KARIMPUR,NADIA,1,Bimalendu Sinha Roy Winner,AITC,0,Post Graduate,63,"Rs 2,06,58,032 ~ 2 Crore+","Rs 3,91,624 ~ 3 Lacs+"
77,TEHATTA,NADIA,6,Tapas Kumar Saha Winner,AITC,1,Graduate,61,,
78,PALASHIPARA,NADIA,3,Dr. Manik Bhattacharya Winner,AITC,0,Doctorate,66,,
79,KALIGANJ,NADIA,7,Nasiruddin Ahamed (Lal) Winner,AITC,2,Post Graduate,67,"Rs 2,64,44,563 ~ 2 Crore+",Rs 0 ~
8,NATABARI,COOCHBEHAR,5,Mihir Goswami Winner,BJP,0,Graduate Professional,67,"Rs 1,40,05,424 ~ 1 Crore+",Rs 0 ~
80,NAKASHIPARA,NADIA,2,Kallol Khan Winner,AITC,2,12th Pass,67,"Rs 25,08,032 ~ 25 Lacs+","Rs 8,60,432 ~ 8 Lacs+"
81,CHAPRA,NADIA,7,Rukbanur Rahman Winner,AITC,0,Post Graduate,52,"Rs 34,25,904 ~ 34 Lacs+",Rs 0 ~
82,KRISHNANAGAR UTTAR,NADIA,5,Mukul Roy Winner,BJP,19,Post Graduate,67,"Rs 79,16,409 ~ 79 Lacs+",Rs 0 ~
83,NABADWIP,NADIA,1,Pundarikakshya Saha Winner,AITC,0,Graduate,66,"Rs 30,423 ~ 30 Thou+",Rs 0 ~
84,KRISHNANAGAR DAKSHIN,NADIA,7,Ujjal Biswas Winner,AITC,0,Graduate,67,"Rs 7,30,29,661 ~ 7 Crore+","Rs 1,97,71,633 ~ 1 Crore+"
85,SANTIPUR,NADIA,2,Jagannath Sarkar Winner,BJP,4,Graduate,58,"Rs 1,52,50,717 ~ 1 Crore+","Rs 18,99,358 ~ 18 Lacs+"
86,RANAGHAT UTTAR PASCHIM,NADIA,5,Parthasarathi Chatterjee Winner,BJP,0,Graduate Professional,67,"Rs 49,96,464 ~ 49 Lacs+","Rs 23,93,627 ~ 23 Lacs+"
87,KRISHNAGANJ (SC),NADIA,3,Ashis Kumar Biswas Winner,BJP,1,12th Pass,54,,
88,RANAGHAT UTTAR PURBA (SC),NADIA,2,Ashim Biswas Winner,BJP,4,Graduate,45,"Rs 24,86,573 ~ 24 Lacs+","Rs 56,898 ~ 56 Thou+"
89,RANAGHAT DAKSHIN (SC),NADIA,2,Mukut Mani Adhikari Winner,BJP,0,Graduate Professional,31,"Rs 53,18,365 ~ 53 Lacs+","Rs 12,40,000 ~ 12 Lacs+"
9,TUFANGANJ,COOCHBEHAR,4,Malati Rava Roy Winner,BJP,9,Graduate,56,"Rs 71,30,820 ~ 71 Lacs+","Rs 1,05,000 ~ 1 Lacs+"
91,CHAKDAHA,NADIA,3,Bankim Chandra Ghosh Winner,BJP,1,12th Pass,62,,
92,KALYANI (SC),NADIA,2,Ambika Roy Winner,BJP,1,Graduate Professional,48,"Rs 87,58,083 ~ 87 Lacs+",Rs 0 ~
93,HARINGHATA (SC),NADIA,2,Asim Kumar Sarkar Winner,BJP,2,Literate,60,"Rs 1,46,46,099 ~ 1 Crore+","Rs 16,23,358 ~ 16 Lacs+"
94,BAGDA (SC),NORTH 24 PARGANAS,1,Biswajit Das Winner,BJP,6,10th Pass,54,"Rs 49,35,094 ~ 49 Lacs+","Rs 9,87,172 ~ 9 Lacs+"
95,BANGAON UTTAR (SC),NORTH 24 PARGANAS,3,Ashok Kirtania Winner,BJP,0,Graduate,47,,
96,BANGAON DAKSHIN (SC),NORTH 24 PARGANAS,6,Swapan Majumder Winner,BJP,2,8th Pass,39,,
97,GAIGHATA (SC),NORTH 24 PARGANAS,7,Subrata Thakur Winner,BJP,2,Others,41,"Rs 56,14,200 ~ 56 Lacs+",Rs 0 ~
98,SWARUPNAGAR (SC),NORTH 24 PARGANAS,1,Bina Mondal Winner,AITC,0,Graduate,45,"Rs 2,01,11,577 ~ 2 Crore+",Rs 0 ~
99,BADURIA,NORTH 24 PARGANAS,1,Abdur Rahim Quazi Winner,AITC,1,Post Graduate,53,"Rs 43,70,976 ~ 43 Lacs+",Rs 0 ~
